"MovieId","Movie Rating","Duration","Gross_M","Worldwide LT Gross","Metascore","MovieAge","Action","comedy","horror","romance","sci_fi","drama","MovieLength","Votes_cat"
"0b980a5b9b442989f47243480a98a2ff16227615",4.5,105,100,371985018,31,4,0,0,0,0,0,1,"1hr 45mins","Satisfactory"
"0be98efc7efadcdea63ba2ea2eb0827d3bb0ddd4",6.9,110,180,357288178,50,36,1,0,0,0,0,0,"1hr 50mins","Adequate"
"0c3bd86662d90f1765d9709fd655b01cfc192f6c",5.9,97,214,506863592,49,1,1,0,0,0,1,0,"1hr 37mins","Adequate"
"0c7a905cf4f789b04f25d4c09296fd1d4d94aed9",7.8,102,177,621537519,77,8,1,0,0,0,0,0,"1hr 42mins","Adequate"
"0ce08c067a5c1e4fb5b8700f0dd3dd23f51603eb",6.4,115,184,287144079,63,7,0,0,0,0,0,0,"1hr 55mins","Adequate"
"0d0e2acc96cce911d2581bb437c480888bc5eac4",7.8,143,304,1108569499,81,10,1,0,0,0,0,0,"2hr 23mins","Adequate"
"0d3dc8706da3f829433750f36cdf403b85e15627",6.2,115,101,242295562,56,26,1,0,0,0,0,0,"1hr 55mins","Adequate"
"0d537266e7ea9954db5453f2dbdce5c3f6736b6d",8.2,130,85,321752656,69,4,0,0,0,0,0,0,"2hr 10mins","Adequate"
"0d6603b1b5b1244f266b0452093e0707a46edc8e",5.6,138,132,245285165,54,19,1,0,0,0,1,0,"2hr 18mins","Adequate"
"0d7f26ad99b9a7b9a95929547548c5644473fc91",6.6,109,93,286140700,61,9,1,0,0,0,1,0,"1hr 49mins","Adequate"
"0dc9933928bce87ea3249c1d1603e3c367349d5e",7.2,107,123,245724603,75,11,1,0,0,0,0,0,"1hr 47mins","Adequate"
"0dd6df326f71f5bcc33c3b86ad0d36fc984b7ff0",6.9,115,101,224012234,52,25,1,0,0,0,0,0,"1hr 55mins","Adequate"
"0dd8c700d2e0714cdb5b751c074b6a0a483feac2",7.3,150,58,365294355,69,2,1,0,0,0,1,0,"2hr 30mins","Adequate"
"0dd95c690818e3211650aeb89269d4ab4d088b86",7.0,111,143,255743093,53,14,0,0,0,0,0,0,"1hr 51mins","Adequate"
"0dee9368df47eb736990c53d4440d7d664c969e3",7.7,145,132,358372926,80,20,1,0,0,0,0,0,"2hr 25mins","Adequate"
"0e616aea59659deb4af0086d209819a312cf4fce",5.6,94,64,408754975,34,6,0,1,0,0,0,0,"1hr 34mins","Satisfactory"
"0e6221e4a714050503d88b0a96715059f55622cd",5.1,83,91,178262620,40,16,0,1,0,0,0,0,"1hr 23mins","Adequate"
"0e91b2352126c7a67e64185e42ebf9f377a3fcba",6.5,124,173,315156409,61,25,1,0,0,0,0,0,"2hr 4mins","Adequate"
"0ec05e31edc8055d219e7cb67bd00031195acd40",6.3,126,90,440603537,38,7,1,0,0,0,1,0,"2hr 6mins","Adequate"
"0f323e7ca910e4aa341c7fe69de5a613613afe71",6.5,107,180,373062864,40,13,1,0,0,0,1,0,"1hr 47mins","Adequate"
"0f3634048b09e408f8c57af024f28e7a5eb08509",7.7,131,146,352616690,65,11,1,0,0,0,1,0,"2hr 11mins","Adequate"
"1016af232d7ad400e345593a454ec73806e6818d",7.1,128,135,388156011,69,15,1,0,0,0,0,0,"2hr 8mins","Adequate"
"1054c08fc9bdc5cc130391883a3eee0b9cc69cd0",7.2,98,187,587235983,55,9,0,1,0,0,0,0,"1hr 38mins","Adequate"
"10656863443eac306b55ce8ad9ad06c7c46e0e65",6.4,92,154,347182886,55,6,0,1,0,0,0,0,"1hr 32mins","Satisfactory"
"109babed20f221c42e58b3bf37281d918a938e72",5.7,95,129,273961019,62,26,0,0,0,0,1,0,"1hr 35mins","Adequate"
"109d154c9cb338c569044f2457f2faf2b7e8e775",6.1,93,321,813367380,58,15,0,1,0,0,0,0,"1hr 33mins","Adequate"
"10c77d3ca756f997b78d9391103f1bf4166a979e",8.2,138,128,294805697,63,12,0,0,0,0,0,0,"2hr 18mins","High"
"10db8045fe43a775dcde75938c3e89db1e3a8b3a",5.6,98,125,264105545,52,22,1,1,0,0,0,0,"1hr 38mins","Adequate"
"1145c4e9a9a8fec95c6662904a55e961b6b1ae2f",7.1,126,163,266915287,68,30,1,0,0,0,0,0,"2hr 6mins","Adequate"
"1163f7f9dba0feae4614ce27780bcd722ea7383f",6.7,119,116,250821495,57,24,0,0,0,1,0,0,"1hr 59mins","Adequate"
